Structure_A,Structure_B,Relationship_Type,DE27IM
1,7,Relationship: Contains,"|111| |111| |111|
|001| |001| |001|
|001| |001| |001|
"
1,8,Relationship: Contains,"|111| |111| |111|
|001| |001| |001|
|001| |001| |001|
"
1,9,Relationship: Contains,"|111| |111| |111|
|001| |001| |001|
|001| |001| |001|
"
7,8,Relationship: Disjoint,"|001| |001| |001|
|001| |001| |001|
|111| |111| |111|
"
7,9,Relationship: Disjoint,"|001| |001| |001|
|001| |001| |001|
|111| |111| |111|
"
8,9,Relationship: Disjoint,"|001| |001| |001|
|001| |001| |001|
|111| |111| |111|
"
